"siteid","city","country"
"BCH","Boston","USA"
"UPenn","Philadelphia","USA"
"BIDMC","Boston","USA"
"ICSM1","Pavia, Lumezzane (Brescia), Milano","Italy"
"ICSM5","Pavia, Lumezzane (Brescia), Milano","Italy"
"ICSM20","Pavia, Lumezzane (Brescia), Milano","Italy"
"APHP","Paris","France"
"FRBDX","Bordeaux","France"
"MGB","Boston","USA"
"MUSC","Charleston, SC","USA"
"NUH","Singapore","Singapore"
"UNC","Chapel Hill, NC","USA"
"UKER","Erlangen","Germany"
"POLIMI","Milan","Italy"
"UCLA","Los Angeles","USA"
"UMICH","Ann Arbor, MI","USA"
"UTSW","Dallas, TX","USA"
"UMM","Mannheim","Germany"
"CHOP","Philadelphia, PA","USA"
"UKFR","Freiburg","Germany"
"KUMC","Kansas City","USA"
"MAYOC","Minesotta, US","USA"
"HPG23","Bergamo","Italy"